,country,gdp_per_capita ($),suicides/100k pop
186,Croatia,10722,22.46416666666666
187,Croatia,11914,20.684999999999995
188,Croatia,12351,19.139999999999997
189,Croatia,13952,19.9175
190,Croatia,14204,20.2875
191,Croatia,14232,20.164166666666667
192,Croatia,14299,18.503333333333334
193,Croatia,14362,17.524999999999995
194,Croatia,14872,21.190833333333334
195,Croatia,14890,18.425833333333333
196,Croatia,16680,22.14083333333333
197,Cyprus,11635,0.6966666666666667
198,Cyprus,12389,0.13083333333333333
199,Cyprus,24718,4.132499999999999
200,Cyprus,25227,0.7641666666666665
201,Cyprus,26671,2.061666666666666
202,Cyprus,28600,2.3033333333333332
203,Cyprus,29024,4.758333333333334
204,Cyprus,29624,5.384166666666668
205,Cyprus,30752,3.5749999999999993
206,Cyprus,32477,4.906666666666666
207,Cyprus,33048,3.0141666666666667
208,Cyprus,33816,4.6275
209,Cyprus,34249,3.6483333333333334
210,Cyprus,37267,4.9225
211,Czech Republic,3070,24.334166666666665
212,Czech Republic,3573,25.2675
213,Czech Republic,4168,26.185
214,Czech Republic,4186,24.80333333333333
215,Czech Republic,4891,24.44
216,Czech Republic,6134,22.03333333333333
217,Czech Republic,6278,18.886666666666667
218,Czech Republic,6314,19.510833333333334
219,Czech Republic,6606,19.74416666666667
220,Czech Republic,6779,18.891666666666666
221,Czech Republic,6861,20.29
222,Czech Republic,6863,18.41
223,Czech Republic,8399,17.679166666666664
224,Czech Republic,10220,19.573333333333338
225,Czech Republic,12226,16.918333333333333
226,Czech Republic,13961,16.116666666666664
227,Czech Republic,15896,14.866666666666667
228,Czech Republic,18703,14.239166666666664
229,Czech Republic,19273,14.231666666666667
230,Czech Republic,20748,14.975833333333329
231,Czech Republic,20859,14.607499999999995
232,Czech Republic,20862,14.635
233,Czech Republic,20898,16.3525
234,Czech Republic,21073,15.505833333333335
235,Czech Republic,23010,15.519999999999998
